text,summary
"The apps 'Lifestyle', 'Lifestyle', 'Utilities', 'Travel', 'Lifestyle', 'Utilities', 'Utilities', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Lifestyle', 'Utilities', 'Lifestyle', 'Lifestyle'  are used prior to the prediction. The apps 29, 76, 251, 868, 528, 251, 34, 381, 384, 387, 389, 29, 34, 29, 222  are used prior to the prediction. On Saturday 12 PM. Social_Networking : 2, 1, 77, 252, 121, 202, 23, 398, 212, 55, 256, 235, 5, 522, 364, 843, 430, 1594, 1267, 763, 619, 1232, 286 - Lifestyle : 29, 76, 1763, 387, 384, 389, 381, 1084, 528, 176, 903, 172, 1365, 126, 227, 1096, 708, 246, 222, 351 - Utilities : 34, 107, 15, 251, 382, 281, 277, 325, 80, 60, 199, 1710, 74, 46, 1557, 1350, 1281, 547, 148, 1824, 1121, 968, 128, 1313, 350, 379, 276 - Travel : 37, 31, 184, 200, 259, 868, 195, 250, 284, 1489, 950, 1180, 1486 - Music : 10, 209, 407, 394, 626, 289, 408, 417, 354, 676, 287, 508, 1404, 1667, 513 - Navigation : 559, 8, 1580, 723, 4, 115, 41, 1525, 1470 - Weather : 521 - Photo&Video : 439, 237, 1889, 1963 - Shopping : 70, 255, 591, 854 - Entertainment : 543, 1897, 1694. This user is close to Business affairs ,Residence and Restaurant. ",this user will use App 34
"The apps 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Music', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities', 'Utilities'  are used prior to the prediction. The apps 809, 1440, 1609, 809, 10, 1440, 46, 1609, 46, 1636, 1703, 78, 46, 1609, 46  are used prior to the prediction. On Saturday 06 PM. Social_Networking : 2, 77, 5, 23, 1, 252, 398, 235, 202, 763, 522, 286, 1267, 619, 228, 929, 905, 932, 917, 471, 359, 935 - Utilities : 15, 277, 46, 78, 1636, 1703, 809, 80, 1440, 74, 1934, 128, 167, 1710, 242, 1609, 60, 379, 276, 148, 90, 224, 688, 1121, 357, 164, 1332, 547, 366, 267, 571, 34, 1824, 221, 968, 793, 623, 991, 281, 340, 1092, 832, 199, 556, 382, 295, 1466, 350, 496, 934, 1950, 1353, 1621, 710, 890, 107, 745, 632, 643, 1269, 42, 1829 - Games : 645, 624 - Music : 10, 209, 287, 513, 289, 417, 407, 394, 408, 990, 626, 1561, 676, 361, 849, 1656, 1669, 1000, 583, 1008, 963, 1404, 1120, 1849, 354, 508 - Travel : 602, 37, 772, 31, 200, 259, 184, 195, 1489, 1486 - Lifestyle : 79, 635, 126, 444, 76, 1757, 172, 413, 29, 247, 351, 246, 766, 613, 555, 384, 389, 528, 381, 708, 387 - Navigation : 4, 9, 82, 309, 290, 428, 41, 1278, 470, 8, 115, 756, 723 - Photo&Video : 237, 1963, 439, 1889 - Shopping : 70, 255, 591, 854, 232, 948, 863 - Entertainment : 705, 30, 469, 420, 706, 1151, 497, 390, 1821, 674, 1217, 1956, 842, 244, 1973 - Infant & Mom : 1149 - References : 54, 1099 - Finance : 1356, 941. This user is close to Business affairs and Shopping. ",this user will use App 809
"The apps Social_Networking, Navigation, Social_Networking, Navigation, Social_Networking, Navigation, Social_Networking, Communication, Navigation, Social_Networking, Communication, Navigation, Communication, Communication, Navigation  are used prior to the prediction. The apps 3, 6, 3, 6, 3, 6, 3, 9, 6, 3, 4, 6, 4, 9, 6  are used prior to the prediction. On Wednesday 09 PM. Communication : 9, 4, 16, 50, 1, 42 - Social_Networking : 3, 8 - Photo&Video : 34, 31, 13 - Utilities : 28, 12, 18, 41, 2 - Navigation : 6 - Shopping : 15, 32, 17, 44, 26 - Entertainment : 7 - Music : 49 - References : 20 - Lifestyle : 38. ",this user will use App 9
"The apps Communication, Shopping, Communication, Shopping, Communication, Shopping, Communication, Utilities, Finance, Shopping, Shopping, Communication, Shopping, Shopping, Shopping  are used prior to the prediction. The apps 1, 57, 1, 57, 1, 57, 1, 2, 27, 57, 57, 9, 57, 57, 57  are used prior to the prediction. On Tuesday 01 PM. Shopping : 57, 17, 15, 25, 44 - Utilities : 73, 2, 24, 28, 12, 18 - Communication : 9, 4, 1, 16, 35, 11 - Social_Networking : 8, 3, 21 - Music : 49, 22 - Navigation : 6 - Finance : 37, 27 - Entertainment : 7 - Photo&Video : 13 - Lifestyle : 38 - Health & Fitness : 48 - References : 20. ",this user will use App 57
"The apps 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking'  are used prior to the prediction. The apps 2, 5, 522, 202, 5, 2, 5, 2, 5, 2, 5, 77, 2, 5, 2  are used prior to the prediction. On Thursday 04 PM. Social_Networking : 2, 1, 5, 77, 235, 202, 252, 522, 398, 286, 375, 377, 368, 369, 376, 372, 228, 358, 371, 1267, 363, 370, 763, 359, 471, 806, 55, 935, 932, 929, 18, 1491 - Utilities : 170, 892, 534, 72, 46, 956, 108, 593, 34, 617, 60, 80, 74, 1283, 426, 1467, 659, 182, 1246, 129, 1528, 503, 90, 97, 778, 105, 1233, 576, 661, 1058, 1324, 251, 1942, 242, 489, 907, 107, 1435, 710, 1590, 968, 148, 210, 563, 366, 201, 199, 348, 128, 1355, 883, 276, 1090, 1876, 1281, 38, 350, 738, 189, 352, 42, 379, 1829, 325, 688, 1350, 1219, 1368, 926, 357, 47, 1313, 1144, 382, 1447, 340, 1364, 1643, 221, 934, 589, 745, 1624, 1466, 556, 1791, 1353, 1557, 496, 1837, 52, 1670, 1492, 571, 265, 62, 1950, 1092, 295, 51, 1686, 1018, 1094, 1424, 486, 1621, 1512, 1831 - Finance : 89, 343, 355, 687, 769, 402, 204, 266, 1308, 558, 1616, 401, 845, 1123, 649, 973, 1057, 1565, 690, 1891, 455, 668 - Lifestyle : 29, 126, 172, 351, 381, 384, 389, 176, 76, 246, 387, 708, 528, 635, 79, 766, 1365, 227, 903, 1401, 1311, 542, 413, 613, 652, 1084 - Games : 168, 475, 580, 715, 7, 300, 664, 310, 561 - Music : 287, 161, 972, 1034, 1904, 1711, 1695, 1726, 1506, 1334, 1410, 1388, 1717, 1888, 1120, 849, 628, 1870, 1561, 1539, 1656, 1669, 990, 1000 - Navigation : 4, 9, 115, 532, 559, 606, 1081, 41, 82, 662, 1578, 658, 447, 194, 726, 1278, 1378, 1389, 428, 717, 723, 657 - Entertainment : 741, 1237, 705, 1897 - Shopping : 294, 70, 232, 255, 257, 1322, 302, 59, 560, 969, 882, 1044, 948, 591, 1074, 854, 414 - Travel : 37, 157, 31, 250, 284, 259, 184, 200, 195, 864, 360, 1503, 1489, 1180, 529, 612 - Weather : 464, 578, 1030, 476, 125, 1639, 1396, 964, 757, 1083, 424 - News : 26, 21, 460, 1759, 19, 335, 12, 525, 472, 1676, 1794, 565, 425, 644 - References : 54, 1099. This user is close to Residence. ",this user will use App 77
"The apps Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication, Communication  are used prior to the prediction. The apps 4, 16, 4, 16, 4, 16, 4, 16, 4, 16, 4, 16, 4, 16, 4  are used prior to the prediction. On Sunday 03 AM. Communication : 4, 16, 30, 50 - Utilities : 24, 10, 28, 2, 12 - Social_Networking : 3 - Entertainment : 7 - Lifestyle : 38 - Music : 40 - Photo&Video : 13 - Shopping : 17. ",this user will use App 16
"The apps 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Music', 'Utilities', 'Music', 'Music'  are used prior to the prediction. The apps 289, 394, 407, 408, 676, 10, 417, 626, 10, 289, 583, 10, 182, 209, 10  are used prior to the prediction. On Thursday 06 AM. Social_Networking : 5, 2, 1, 202, 77, 252, 398, 522, 55, 763, 212, 121, 23, 36, 256, 235, 371, 18, 364, 286, 430, 370, 471, 363, 935, 228, 368, 929, 377, 917, 905, 376, 359, 1087, 369, 1267, 932, 223, 358, 375, 372, 572, 843, 1967, 1484, 1232, 1721, 619, 1491, 1594, 653 - Utilities : 142, 570, 778, 1703, 1636, 167, 80, 422, 34, 72, 182, 128, 46, 97, 15, 105, 379, 38, 60, 325, 108, 623, 158, 74, 898, 1347, 61, 210, 107, 489, 823, 90, 1263, 229, 468, 148, 382, 201, 505, 688, 276, 1253, 185, 68, 547, 160, 1092, 230, 563, 510, 571, 366, 348, 221, 1154, 1090, 62, 1946, 1619, 350, 1095, 751, 729, 427, 277, 1242, 42, 820, 1174, 1206, 47, 274, 643, 745, 52, 534, 199, 1376, 826, 1424, 556, 516, 1026, 934, 993, 1121, 281, 251, 1353, 1549, 991, 1466, 1643, 288, 83, 1219, 632, 1400, 710, 1745, 753, 1313, 267, 263, 1791, 1624, 51, 1994, 968, 1710, 1354, 93, 1350, 135, 1372, 1837, 435, 1281, 1323, 1416 - Entertainment : 30, 32, 244, 469, 706, 674, 390, 98, 842, 1303, 1151, 497, 312, 1687, 986, 543, 187, 392, 1973, 411, 1956, 1727, 684, 405, 524, 1620, 1566, 1067, 1485, 1579, 584, 406, 1926, 1749, 637, 1554, 1806, 1897, 1762, 1662, 501 - Music : 10, 209, 492, 289, 508, 287, 394, 407, 408, 1879, 626, 417, 654, 676, 354, 1247, 483, 583, 791, 1056, 1644, 1404, 1667, 513, 1849, 361 - News : 12, 19, 21, 53, 113, 146, 24, 425, 472, 565, 335, 1759, 1326, 1535, 1438, 614, 1128, 1210, 1321, 1836 - Lifestyle : 29, 126, 79, 389, 76, 384, 172, 387, 381, 33, 1318, 413, 351, 116, 17, 613, 528, 138, 1567, 766, 227, 239, 523, 1627, 324, 246, 1215, 1084, 708, 222, 1548, 1822, 770, 1183, 777, 974, 783, 1760, 652 - Navigation : 4, 916, 9, 41, 428, 559, 1278, 606, 717, 290, 309, 662, 8, 658, 532, 115, 447, 657, 82, 756, 928, 1525, 1578, 1081 - Shopping : 70, 232, 255, 591, 948, 854, 1199, 747, 1208, 969, 882, 863, 1044 - Books : 123, 1801, 1847, 63, 804 - Games : 645, 7, 624, 215, 300, 310, 664, 1680, 329, 561, 1701 - Weather : 125, 424, 757, 964, 462, 1396, 1083 - Photo&Video : 237, 439, 1166, 1098, 1159, 1889, 1017, 1179, 1963, 1519, 320, 1591, 1513, 1537, 1110, 1605 - Travel : 31, 37, 200, 529, 360, 184, 875, 259, 250, 612, 1180, 195, 308, 284, 1489, 1428, 1486 - References : 918, 432, 1099, 54, 515 - Health & Fitness : 592, 718, 1331 - Education : 504, 1222, 334, 1692. This user is close to Residence. ",this user will use App 508
"The apps 'Utilities', 'Social_Networking', 'Health & Fitness', 'Health & Fitness', 'Health & Fitness', 'Health & Fitness', 'Utilities', 'Health & Fitness', 'Utilities', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Social_Networking', 'Utilities', 'Social_Networking'  are used prior to the prediction. The apps 221, 1, 1331, 718, 592, 718, 46, 718, 148, 202, 2, 77, 252, 74, 202  are used prior to the prediction. On Tuesday 07 AM. Utilities : 317, 1358, 170, 1975, 80, 485, 892, 311, 221, 148, 1224, 350, 1309, 72, 105, 46, 1240, 752, 210, 201, 667, 1922, 481, 60, 348, 38, 267, 812, 74, 276, 342, 393, 1789, 107, 1977, 382, 535, 34, 1826, 251, 435, 1450, 968, 1184, 1624 - Social_Networking : 2, 5, 77, 1, 202, 228, 252, 522, 398, 286, 1267, 377, 363 - Health & Fitness : 718, 592, 1331 - Lifestyle : 126, 76, 381, 29, 79, 172, 246, 413, 389, 387, 384, 555, 708, 613, 351, 528, 247, 1947, 903, 1365, 974, 176, 766, 227 - Navigation : 9, 532, 4, 290, 309, 756 - Shopping : 536, 924 - Finance : 782, 401, 649, 554 - Entertainment : 411, 392, 1554 - Sports : 1366 - Books : 291, 1877 - References : 54, 1099 - Music : 10, 394, 1667, 417, 408, 407, 676, 209. This user is close to Business affairs ,Residence and Shopping. ",this user will use App 148
"The apps Social_Networking, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Communication, Social_Networking, Social_Networking, Social_Networking, Social_Networking, Social_Networking, Social_Networking, Social_Networking, Social_Networking  are used prior to the prediction. The apps 3, 80, 11, 80, 11, 80, 16, 80, 46, 80, 46, 80, 46, 80, 46  are used prior to the prediction. On Thursday 03 AM. Social_Networking : 80, 3, 21, 8, 46 - Communication : 63, 16, 61, 9, 1, 4, 11, 14, 81 - Utilities : 2, 5, 10, 18, 12, 64 - Music : 40, 22 - Navigation : 6 - Entertainment : 52, 7 - Photo&Video : 13 - Shopping : 17 - References : 20. ",this user will use App 80
"The apps Entertainment, Lifestyle, Utilities, Lifestyle, Utilities, Lifestyle, Entertainment, Communication, Entertainment, Lifestyle, Entertainment, Lifestyle, Lifestyle, Utilities, Lifestyle  are used prior to the prediction. The apps 43, 76, 10, 76, 10, 76, 43, 1, 7, 76, 43, 76, 76, 10, 76  are used prior to the prediction. On Monday 09 PM. Utilities : 10, 28, 2, 12, 18 - Communication : 30, 1, 4, 53 - Lifestyle : 76 - Entertainment : 43, 7 - Navigation : 6 - Music : 49 - Shopping : 17 - Social_Networking : 3, 8 - Finance : 37 - References : 20 - Photo&Video : 13. ",this user will use App 10
